order_date,Sales,simulated_sales,Profit,Segment,Region,Discount
2022-11-09,261.96,288.156,41.9136,SMB,EMEA,0.0
2022-11-09,731.94,805.1340000000001,219.582,SMB,EMEA,0.0
2022-06-13,14.62,16.082,6.8714,Strategic,AMER,0.0
2021-10-11,957.5775,957.5775,-383.031,SMB,EMEA,0.45
2021-10-11,22.368,22.368,2.5164,SMB,EMEA,0.2
2020-06-09,48.86,53.746,14.1694,SMB,AMER,0.0
2020-06-09,7.28,8.008000000000001,1.9656,SMB,AMER,0.0
2020-06-09,907.152,907.152,90.7152,SMB,AMER,0.2
2020-06-09,18.504,18.504,5.7825,SMB,AMER,0.2
2020-06-09,114.9,126.39000000000001,34.47,SMB,AMER,0.0
2020-06-09,1706.184,1706.184,85.3092,SMB,AMER,0.2
2020-06-09,911.424,911.424,68.3568,SMB,AMER,0.2
2023-04-16,15.552,15.552,5.4432,SMB,EMEA,0.2
2022-12-06,407.976,407.976,132.5922,SMB,AMER,0.2
2021-11-22,68.81,68.81,-123.858,Enterprise,APJ,0.8
2021-11-22,2.544,2.544,-3.816,Enterprise,APJ,0.8
2020-11-11,665.88,732.4680000000001,13.3176,SMB,EMEA,0.0
2020-05-13,55.5,61.050000000000004,9.99,SMB,EMEA,0.0
2020-08-27,8.56,9.416000000000002,2.4824,SMB,AMER,0.0
2020-08-27,213.48,213.48,16.011,SMB,AMER,0.2
2020-08-27,22.72,22.72,7.384,SMB,AMER,0.2
2022-12-10,19.46,21.406000000000002,5.0596,Strategic,AMER,0.0
2022-12-10,60.34,66.37400000000001,15.6884,Strategic,AMER,0.0
2023-07-17,71.372,71.372,-1.0196,SMB,EMEA,0.3
2021-09-25,1044.63,1149.0930000000003,240.2649,SMB,EMEA,0.0
2022-01-16,11.648,11.648,4.2224,SMB,AMER,0.2
2022-01-16,90.57,99.627,11.7741,SMB,AMER,0.0
2021-09-17,3083.43,3083.43,-1665.0522,SMB,EMEA,0.5
2021-09-17,9.618,9.618,-7.0532,SMB,EMEA,0.7
2021-09-17,124.2,124.2,15.525,SMB,EMEA,0.2
2021-09-17,3.264,3.264,1.1016,SMB,EMEA,0.2
2021-09-17,86.304,86.304,9.7092,SMB,EMEA,0.2
2021-09-17,6.858,6.858,-5.715,SMB,EMEA,0.7
